Node,Str,file,rank
pos_1091.59626_5.257,794.6675630878767,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,5
pos_556.32152_5.537,792.6986495004901,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,6
pos_1077.58075_5.559,780.4948212834348,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,7
pos_333.13215_6.697,775.7856456690353,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,8
pos_1143.63481_4.944,761.4095773124493,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,9
pos_322.16256_9.474,717.0826476569649,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,10
pos_2073.10772_7.177,657.7550408497327,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,11
pos_352.18889_9.286,584.0068367822133,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,12
pos_2151.10297_7.063,578.784937417797,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,13
pos_594.27421_5.968,568.6761860332958,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,14
pos_382.10835_1.234,567.0357634011211,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,15
pos_169.04056_7.154,561.2565861017478,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,16
pos_136.03847_4.552,559.1470994624642,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,17
pos_357.22029_13.924,558.0351648536537,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,18
pos_202.0452_1.718,554.0379158460055,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,19
pos_218.01912_1.219,539.12709699849745,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,20
pos_461.33469_13.882,518.7340408444846,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,21
pos_469.32603_6.538,516.1211206285753,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,22
pos_371.23587_14.303,511.8761076871847,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,23
pos_202.04518_1.248,510.7161553355085,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,24
pos_1057.46741_4.856,507.83373395584135,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,25
pos_347.06272_1.983,480.14904502797964,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,26
pos_188.11601_5.548,460.99063884247784,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,27
pos_306.1148_4.698,459.1598684769185,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,28
pos_244.17854_7.944,459.081037694054,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,29
pos_218.12658_4.867,449.3390270515122,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,30
pos_2278.18423_8.327,438.891799697128,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,31
pos_904.52178_5.547,438.5306113185219,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_3.RData,32
